,label,start_unix,end_unix,times,intensity
87,USFS #1,978307200,978566400,"({'starting_time': 978307200, 'ending_time': 978566400},)",0.004475627769571639
88,Viejas,978480000,978912000,"({'starting_time': 978480000, 'ending_time': 978912000},)",0.15292466765140325
89,Jones,989366400,989798400,"({'starting_time': 989366400, 'ending_time': 989798400},)",0.021270310192023634
90,M-9 Fire,989366400,989366400,"({'starting_time': 989366400, 'ending_time': 989366400},)",0.005184638109305761
91,Larkin,990316800,990403200,"({'starting_time': 990316800, 'ending_time': 990403200},)",0.005908419497784343
92,Hilton,990316800,990576000,"({'starting_time': 990316800, 'ending_time': 990576000},)",0.005760709010339734
93,White,990576000,990835200,"({'starting_time': 990576000, 'ending_time': 990835200},)",0.004903988183161004
94,Devil,990921600,991353600,"({'starting_time': 990921600, 'ending_time': 991353600},)",0.06499261447562776
95,Freeman,991094400,991094400,"({'starting_time': 991094400, 'ending_time': 991094400},)",0.005760709010339734
96,Big,991440000,991526400,"({'starting_time': 991440000, 'ending_time': 991526400},)",0.011816838995568686
97,Powerline,991526400,991526400,"({'starting_time': 991526400, 'ending_time': 991526400},)",0.011477104874446085
98,Flat,991699200,991699200,"({'starting_time': 991699200, 'ending_time': 991699200},)",0.004431314623338257
103,Merced Falls Fire,992390400,992476800,"({'starting_time': 992390400, 'ending_time': 992476800},)",0.005908419497784343
102,San Benito Cattle Co.,992390400,992390400,"({'starting_time': 992390400, 'ending_time': 992390400},)",0.008567208271787297
104,Hog,992390400,992390400,"({'starting_time': 992390400, 'ending_time': 992390400},)",0.005022156573116691
100,165,992390400,992390400,"({'starting_time': 992390400, 'ending_time': 992390400},)",0.022156573116691284
99,Jackson,992390400,992390400,"({'starting_time': 992390400, 'ending_time': 992390400},)",0.03308714918759232
101,Assist SNF-562,992390400,992390400,"({'starting_time': 992390400, 'ending_time': 992390400},)",0.01772525849335303
105,Hemlock,992476800,992995200,"({'starting_time': 992476800, 'ending_time': 992995200},)",0.01586410635155096
106,Pacheco,992649600,992736000,"({'starting_time': 992649600, 'ending_time': 992736000},)",0.022895125553914326
107,Shinn,992649600,992822400,"({'starting_time': 992649600, 'ending_time': 992822400},)",0.004431314623338257
108,Martis,992736000,993945600,"({'starting_time': 992736000, 'ending_time': 993945600},)",0.21418020679468242
109,Red Bank,992736000,992736000,"({'starting_time': 992736000, 'ending_time': 992736000},)",0.009601181683899557
110,Tram,992736000,992822400,"({'starting_time': 992736000, 'ending_time': 992822400},)",0.005805022156573116
111,Canyon,992822400,992908800,"({'starting_time': 992822400, 'ending_time': 992908800},)",0.008360413589364846
115,Bevan,993254400,993254400,"({'starting_time': 993254400, 'ending_time': 993254400},)",0.007385524372230428
114,Democrat,993254400,993427200,"({'starting_time': 993254400, 'ending_time': 993427200},)",0.00812407680945347
112,Watkins,993254400,993340800,"({'starting_time': 993254400, 'ending_time': 993340800},)",0.020782865583456427
113,Ridge,993254400,993427200,"({'starting_time': 993254400, 'ending_time': 993427200},)",0.009010339734121122
116,Vander Bowen,993772800,993772800,"({'starting_time': 993772800, 'ending_time': 993772800},)",0.00880354505169867
117,McNamammara,993945600,993945600,"({'starting_time': 993945600, 'ending_time': 993945600},)",0.0103397341211226
118,McLaughlin,994032000,994291200,"({'starting_time': 994032000, 'ending_time': 994291200},)",0.04283604135893648
119,Lake,994118400,994118400,"({'starting_time': 994118400, 'ending_time': 994118400},)",0.00812407680945347
