,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
472,MMU-17739,MADERA,URUTTA,2005-05-01,2005-09-15,CDF,435.0,UNDET.,2005,2005,0.006126760563380282
473,FKU-5279,FRESNO,CLAYTON,2005-05-15,2005-05-16,LOCAL,300.0,ARSON,2005,2005,0.004225352112676056
474,FKU-5326,FRESNO,MENDOTA,2005-05-17,2005-05-17,LOCAL,800.0,RAILROAD,2005,2005,0.011267605633802818
475,FKU-5337,FRESNO,BLM #1(APRICOT),2005-05-17,2005-05-17,CDF/BLM,667.0,CAMPFIRE,2005,2005,0.0093943661971831
476,RRU-41175,RIVERSIDE,JOHNSON RANCH VMP,2005-05-19,2005-06-01,CDF,417.0,PRESCRIBED,2005,2005,0.005873239436619718
477,TUU-5938,TULARE,LEHIGH KERN #7,2005-06-02,2005-06-02,CDF/CC,800.0,HUMAN,2005,2005,0.011267605633802818
478,RRU-46137,RIVERSIDE,STATE 783 (ELM),2005-06-02,2005-06-04,CDF,300.0,UNDET.,2005,2005,0.004225352112676056
479,MMU-9861,MERCED,DOS AMIGOS,2005-06-03,2005-06-03,CDF,1232.0,VEHICLE,2005,2005,0.01735211267605634
480,FKU-06116,FRESNO,FIVE,2005-06-04,2005-06-05,CDF,5514.0,VEHICLE,2005,2005,0.07766197183098592
481,SCU-2125,STANISLAUS,SPERRY,2005-06-04,2005-06-04,CDF,1330.0,VEHICLE,2005,2005,0.018732394366197183
482,SCU-2142,CONTRA COSTA,VASCO,2005-06-05,2005-06-05,CDF,320.0,VEHICLE,2005,2005,0.004507042253521127
483,BDU-5678,SAN BERNARDINO,CITY (DULCE),2005-06-06,2005-06-07,LOCAL,625.0,HUMAN,2005,2005,0.008802816901408451
484,BDU-6148,SAN BERNARDINO,PIONEER,2005-06-18,2005-06-19,CDF,1876.0,UNDET.,2005,2005,0.026422535211267605
485,BDU-6587,SAN BERNARDINO,HACKBERRY ASSIST,2005-06-22,2005-06-27,NPS,71000.0,LIGHTNING,2005,2005,1.0
486,BDU-6312,SAN BERNARDINO,PARADISE,2005-06-22,2005-06-25,CDF,3082.0,UNDET.,2005,2005,0.04340845070422535
487,RRU-52091,RIVERSIDE,SOBOBA,2005-06-22,2005-06-24,CDF,2000.0,EQUIP. USE,2005,2005,0.028169014084507043
488,SCU-2567,CONTRA COSTA,BRAGDON,2005-07-01,2005-07-02,CDF,490.0,VEHICLE,2005,2005,0.006901408450704225
489,MMU-11965,MADERA,BAILEY,2005-07-02,2005-07-02,CDF,1056.0,UNDET.,2005,2005,0.014873239436619718
490,BDU-9126,LOS ANGELES,"ASSIST ""TOVEY""",2005-07-05,2005-07-06,CDF/CC,1200.0,UI,2005,2005,0.016901408450704224
491,RRU-56179,RIVERSIDE,ASSIST ORC(YORBA LINDA),2005-07-05,2005-07-05,CDF/CC,1078.0,HUMAN,2005,2005,0.015183098591549296
492,TUU-7505,TULARE,MILLWOOD,2005-07-07,2005-07-07,CDF,2600.0,ARSON,2005,2005,0.036619718309859155
493,TUU-7893,TULARE,SQF NINE(NINE),2005-07-09,2005-07-09,USFS,1150.0,UI,2005,2005,0.01619718309859155
494,TUU-7902,TULARE,HIGH,2005-07-09,2005-07-09,CDF/CC,971.0,UI,2005,2005,0.013676056338028169
495,BDU-731,SAN BERNARDINO,SIERRA,2005-07-14,2005-07-15,CDF/CC,525.0,UI,2005,2005,0.007394366197183098
497,TUU-8421,KERN,KRN-25 (CHINA LAKE),2005-07-19,2005-07-19,BLM,1282.0,HUMAN,2005,2005,0.018056338028169014
496,SCU-2920,ALAMEDA,TESLA,2005-07-19,2005-07-20,CDF,6744.0,ARSON,2005,2005,0.09498591549295775
498,SCU-2922,CONTRA COSTA,BRUNS,2005-07-20,2005-07-20,CDF,350.0,UNDET.,2005,2005,0.004929577464788733
499,BDU-7673,SAN BERNARDINO,ASSIST-KINGSTON,2005-07-22,2005-07-23,BLM,3500.0,LIGHTNING,2005,2005,0.04929577464788732
500,BDU-7661,INYO,ASSIST(PINYON COMPLEX),2005-07-22,2005-07-22,USFS,743.0,LIGHTNING,2005,2005,0.010464788732394367
501,MMU-13780,MADERA,QUARTZ,2005-07-25,2005-07-27,CDF,550.0,EQUIP. USE,2005,2005,0.007746478873239437
502,TGU-4548,TEHAMA,RANCH,2005-07-25,2005-07-25,CDF,430.0,VEHICLE,2005,2005,0.0060563380281690145
503,SCU-3058,ALAMEDA,KOOPMAN,2005-07-26,2005-07-26,CDF,430.0,ARSON,2005,2005,0.0060563380281690145
504,TUU-8868,TULARE,RED,2005-07-27,2005-07-28,CDF,870.0,EQUIP. USE,2005,2005,0.012253521126760564
505,MMU-14173,MERCED,LAGUNA,2005-07-30,2005-07-30,CDF,447.0,VEHICLE,2005,2005,0.006295774647887324
507,TCU-6468,CALAVERAS,WENTZEL,2005-08-01,2005-08-01,CDF,356.0,EQUIP. USE,2005,2005,0.005014084507042254
506,MMU-14337,MERCED,COWPIE(I5),2005-08-01,2005-08-01,CDF,3200.0,MISC,2005,2005,0.04507042253521127
508,BDU-8164,SAN BERNARDINO,ASSIST BDF (HALLORAN,2005-08-03,2005-08-03,NPS,1500.0,UI,2005,2005,0.02112676056338028
509,LNU-5240,LAKE,"MNF ASSIST - DEER
FIER(DEER)",2005-08-09,2005-08-09,USFS,1700.0,HUMAN,2005,2005,0.023943661971830985
510,TGU-4980,TEHAMA,36-2(36),2005-08-10,2005-08-11,CDF,2700.0,EQUIP. USE,2005,2005,0.038028169014084505
511,MVU-6764,SAN DIEGO,"ASSIST#54
MSN#50885(SHOTHOLE)",2005-08-17,2005-08-17,DOD,350.0,,2005,2005,0.004929577464788733
512,MMU-15859,MADERA,ROAD 33(33),2005-08-21,2005-08-21,LOCAL,400.0,UNDET.,2005,2005,0.005633802816901409
513,LMU-3444,MODOC,BLM-B4TX(BARREL),2005-08-22,2005-08-22,BLM,24800.0,LIGHTNING,2005,2005,0.3492957746478873
514,NEU-14631,SIERRA,TNF-1215(HARDING),2005-08-24,2005-08-24,USFS,2270.0,HUMAN,2005,2005,0.031971830985915495
515,TGU-5357,TEHAMA,FOLEY(ARTOIS),2005-08-25,2005-08-25,CDF,314.0,EQUIP. USE,2005,2005,0.004422535211267606
516,RRU-71914,RIVERSIDE,ASSIST (BLAISDELL),2005-08-26,2005-08-30,BLM,5493.0,HUMAN,2005,2005,0.07736619718309859
517,TGU-5384,TEHAMA,MANTON,2005-08-26,2005-08-29,CDF,1830.0,VEHICLE,2005,2005,0.025774647887323945
518,MMU-18533,MADERA,MORGAN,2005-08-26,2005-08-26,LOCAL,500.0,LIGHTNING,2005,2005,0.007042253521126761
519,MMU-16440,MARIPOSA,ENGINEERS,2005-08-29,2005-08-29,CDF,550.0,EQUIP. USE,2005,2005,0.007746478873239437
520,FKU-10238,FRESNO,10238,2005-08-30,2005-08-30,LOCAL,1000.0,EQUIP. USE,2005,2005,0.014084507042253521
521,BDU-9477,LA/KERN,"ASSIST ""GORMAN""",2005-09-03,2005-09-05,CDF/CC,2386.0,UI,2005,2005,0.0336056338028169
522,BEU-3316,MONTEREY,CABEU003316(JOHNSO,2005-09-04,2005-09-05,CDF,1393.0,VEHICLE,2005,2005,0.019619718309859153
523,MVU-7518,SAN DIEGO,VOLCAN,2005-09-06,2005-09-11,CDF,685.0,VEHICLE,2005,2005,0.009647887323943663
524,BDU-12212,SAN BERNARDINO,KINGSTON 3,2005-09-12,2005-09-14,BLM,650.0,UI,2005,2005,0.009154929577464789
525,LNU-6400,LAKE,CLOVER,2005-09-16,2005-09-17,CDF,751.0,UNDET.,2005,2005,0.010577464788732394
526,SKU-4410,SISKIYOU,LICHENS,2005-09-17,2005-09-17,CDF,746.5,"DEBRIS
BURNING",2005,2005,0.010514084507042254
527,TUU-11469,TULARE,PINE,2005-09-19,2005-09-19,CDF/CC,1600.0,UNDET.,2005,2005,0.022535211267605635
528,MMU-18117,MERCED,LOS BANOS,2005-09-20,2005-09-20,CDF,900.0,LIGHTNING,2005,2005,0.01267605633802817
529,MMU-18135,MARIPOSA,LA PALOMA,2005-09-20,2005-09-20,CDF,700.0,LIGHTNING,2005,2005,0.009859154929577466
530,TUU-11723,KERN,KERN #44 (CRANE),2005-09-25,2005-09-25,CDF/CC,412.0,UI,2005,2005,0.005802816901408451
531,BDU-10474,SAN BERNARDINO,ASSIST (TOPANGA),2005-09-28,2005-10-07,CDF/CC,24175.0,UI,2005,2005,0.34049295774647886
532,RRU-81558,RIVERSIDE,STATE FIRE (SAN TIMOTEO),2005-09-28,2005-09-28,CDF,1100.0,MISC,2005,2005,0.015492957746478873
533,BDU-10505,SAN BERNARDINO,ASSIST (THURMAN),2005-09-29,2005-09-29,USFS,935.0,UI,2005,2005,0.013169014084507042
534,NEU-17311,PLACER,BREWER,2005-10-04,2005-10-04,LOCAL,400.0,UNDET.,2005,2005,0.005633802816901409
535,RRU-83672,RIVERSIDE,WOODHOUSE,2005-10-05,2005-10-07,CDF,6500.0,RAILROAD,2005,2005,0.09154929577464789
536,MMU-19165,MADERA,RIVER,2005-10-05,2005-10-05,LOCAL,6000.0,EQUIP. USE,2005,2005,0.08450704225352113
537,MVU-8488,SAN DIEGO,BORDER #50,2005-10-05,2005-10-08,CDF,4103.0,UNDET.,2005,2005,0.057788732394366195
538,LNU-7187,YOLO,RUMSEY SERIES #3,2005-10-11,2005-10-12,CDF,301.0,UNDET.,2005,2005,0.00423943661971831
539,RRU-87002,RIVERSIDE,LOCAL LIGHTNING #1,2005-10-17,2005-10-17,LOCAL,500.0,LIGHTNING,2005,2005,0.007042253521126761
540,TUU-13139,TULARE,ALPAUGH,2005-10-28,2005-10-28,LOCAL,330.0,UNDET.,2005,2005,0.004647887323943662
541,SHF-2589,SHASTA,BAGLEY,2005-11-08,2005-11-08,USFS,468.0,UNDET.,2005,2005,0.006591549295774648
